date_fin,date_debut,niveau_perturbation,typologie,voie,maitre_ouvrage,statut,identifiant,impact_circulation,geo_shape,objet,precision_localisation,cp_arrondissement,numero_stv,description,coordinates,duree(day)
2023-02-24,2022-11-03,2.0,1.0,Avenue des Champs Elysées,DVD - SAGP -ACO,2,CP002420,RESTREINTE,"[[[2.3200538727455706, 48.865874721048435], [2.3200020390980693, 48.865793902649216], [2.3091056744565157, 48.86925572789205], [2.3091534995198972, 48.86933115860774], [2.3200538727455706, 48.865874721048435]]]",REAMENAGEMENT_VOIRIE,De la place de l'étoile à la place Clémenceau (Ph1) puis à la place de la Concorde (Ph2),75008,9,Aménagement de refuges piétons,"[2.314643159291045, 48.867543441256416]",113.0
2022-12-20,2019-08-26,2.0,2.0,Avenue de Messine,SNCF EOLE,2,CP001477,RESTREINTE,"[[[2.313937384330044, 48.876027117035385], [2.313974930275214, 48.87605231674796], [2.3147188488919417, 48.875718687897425], [2.3147518291249445, 48.875679615138374], [2.3149239838360867, 48.87561873314292], [2.3152027820559806, 48.875540614522286], [2.315195329178253, 48.87542159738105], [2.3151719609046855, 48.87541551456593], [2.3148206587351954, 48.87552058234331], [2.3138445376667494, 48.87595519984275], [2.313937384330044, 48.876027117035385]]]",CREATION_ENTRETIEN_OUVRAGE_ART,du n°2 au n°16,75008,9,"Création d'un puits de service, travaux préparatoire du 26/08/19 au 30/08/19","[2.314529093609444, 48.87572980964821]",1212.0
2023-04-30,2021-04-06,2.0,3.0,Rue Emile Dubois,RIVP,2,CP001892,RESTREINTE,"[[[2.3377336295555464, 48.831408352389694], [2.3377108047876747, 48.831407912119026], [2.337706211851141, 48.83142898417378], [2.3377026725689585, 48.83144260896007], [2.3377049638370417, 48.831452801648986], [2.3373252218331237, 48.83154566838706], [2.337350258366161, 48.83156191217227], [2.3374571589641793, 48.83153566262489], [2.3374800309400974, 48.831547506352386], [2.3375644289104276, 48.83152386345128], [2.3376476242143083, 48.83150116176915], [2.337810319444369, 48.83146192365722], [2.337783480841688, 48.8314183092696], [2.337762661485209, 48.83141153054027], [2.3377336295555464, 48.831408352389694]]]",REHABILITATION_IMMEUBLE,Au N°1,75014,12,Démolition et Reconstruction,"[2.3376087438423045, 48.83148812314755]",754.0
2022-12-30,2022-01-31,2.0,2.0,bd Pasteur,CPCU,2,CP002268,RESTREINTE,"[[[2.313657625860738, 48.84122930170467], [2.3136802893204798, 48.841287731417765], [2.313696182835892, 48.84131280792319], [2.3138767494813437, 48.84115203226221], [2.313790782043143, 48.84110989664495], [2.313659397022841, 48.8412316915925], [2.313657625860738, 48.84122930170467]]]",ENTRETIEN_RESEAU,Au N° 52,75015,13,Modernisation Chambre,"[2.313757003270671, 48.841203375944964]",333.0
2022-11-02,2020-11-02,2.0,3.0,17b rue d'Amsterdam,AMETIS,4,CP001801,RESTREINTE,"[[[2.3268446891577828, 48.87741729930449], [2.326906747540016, 48.877416696753045], [2.3269002548958353, 48.87724914349363], [2.326836002280098, 48.87725211334718], [2.3268446891577828, 48.87741729930449]]]",CONSTRUCTION_IMMEUBLE,,75008,9,Démolition puis construction d'un bâtiment.,"[2.3268719732725325, 48.87733330642187]",730.0
2022-09-30,2022-05-12,2.0,1.0,Avenue du Maine / Rue Vercingétorix,SAGP,4,CP002317,RESTREINTE,"[[[2.3222781843747686, 48.83868007975978], [2.322279370863127, 48.8386816684712], [2.322281809776789, 48.83867851741154], [2.3223044067615626, 48.83860408149004], [2.322188295940832, 48.838569312358274], [2.3222604655175245, 48.83837935461547], [2.3222043607722056, 48.83835127860244], [2.3222495269572603, 48.838296006593055], [2.322184933411234, 48.83827343967063], [2.322036026320933, 48.83863587509459], [2.3222781843747686, 48.83868007975978]]]",REAMENAGEMENT_VOIRIE,80- 82 av. du Maine / Rue Vercingétorix angle av. du Maine,75014,12,Traversées de chaussée pour les travaux SLT + Reprise du trottoir,"[2.3221722156710087, 48.83851492099773]",141.0
2023-02-28,2022-10-03,2.0,1.0,Rue de Rivoli,Musée Louvres & MAD,2,CP002389,RESTREINTE,"[[[2.334672368265756, 48.86288426577897], [2.334607427103902, 48.862808099605225], [2.3323618701570696, 48.86354990422634], [2.332408225778639, 48.86362392818835], [2.334672368265756, 48.86288426577897]]]",REHABILITATION_IMMEUBLE,Entre les n° 101 au 111,75001,11,Travaux en façades des musées du Louvres et Arts Déco,"[2.333529098093924, 48.863211135110944]",148.0
2022-08-31,2022-07-04,2.0,2.0,Rue Lourmel,ENEDIS,2,CP002355,,"[[[[2.2919259266712317, 48.850203242499724], [2.292029345759672, 48.850119013158604], [2.2864588057204496, 48.843690237543484], [2.2862735367969336, 48.84295871482904], [2.2856810245528054, 48.84225698466727], [2.285615936011876, 48.842256595990904], [2.2862084460127385, 48.84295832646717], [2.2862625050608756, 48.843764257302155], [2.2919259266712317, 48.850203242499724]]], [[[2.292029345759672, 48.850119013158604], [2.2920347422268073, 48.85012523989805], [2.2920348881554307, 48.85011449877831], [2.292029345759672, 48.850119013158604]]]]",ENTRETIEN_RESEAU,Du n° 10 au n° 102,75015,13,Travaux sur réseaux HTA,"[2.2887206376284213, 48.84639432756618]",58.0
2024-03-31,2022-08-01,2.0,3.0,Rue Meyerbeer,Paris Opéra SNC,2,CP002361,RESTREINTE,"[[[2.333193302308155, 48.87208841257584], [2.3335014583488936, 48.87191118975601], [2.3335014644360723, 48.871910714038776], [2.3334401677996857, 48.871852313088226], [2.3331290785457, 48.87203332632544], [2.333193302308155, 48.87208841257584]]]",REHABILITATION_IMMEUBLE,"Emprise 1: entre les n° 2 et 4 rue Meyerbeer
Emprise 2: du 11 et 13 rue de la chaussée d'Antin",75009,11,Emprises sur chaussée et trottoir,"[2.3333165914808944, 48.87197086827153]",608.0
2024-03-31,2020-02-21,1.0,2.0,Porte de la Chapelle,SNCF,2,CP001652,RESTREINTE,"[[[2.3585578081465237, 48.89985131251321], [2.3597309110488505, 48.89984147843579], [2.361085240371427, 48.89833962695765], [2.358593153364847, 48.89830482413131], [2.3585578081465237, 48.89985131251321]]]",TRAVAUX_OUVRAGE,,75018,9,Dépose puis reconstruction des ponts,"[2.35953040401859, 48.89899174665334]",1500.0
